Start_Node	End_Node	Travel_Time
327	26383	1.819777
328	26048	1.910169
329	26047	2.419823
330	26047	1.579385
330	26384	1.460331
331	26317	1.508677
331	26385	1.660454
332	26310	0.958869
333	26044	1.623946
333	26318	1.972500
334	26045	2.464269
334	26156	1.440623
335	26044	1.438246
336	26315	1.446762
337	26315	0.702069
338	26301	1.305462
339	40264	0.778200
340	25692	3.676546
341	26150	1.924015
341	26155	1.960985
342	25672	3.562015
343	25672	2.235485
344	25670	2.289554
344	50861	1.617900
345	25670	3.589731
345	26152	4.117454
346	26106	3.890100
347	25320	3.452469
347	54728	2.659269
348	26148	0.714715
349	26107	2.815385
349	26113	1.386162
350	26110	1.536046
351	26110	1.788300
352	40259	1.565954
353	26205	1.455831
354	26179	2.323108
354	54808	2.375262
355	26107	4.832700
355	26179	5.109462
356	26156	2.047938
356	26201	5.209638
357	26199	1.804777
357	26200	1.950692
358	26200	1.110485
359	26223	2.082715
360	26224	1.944762
360	54807	0.734285
361	26235	0.349985
362	26220	1.150823
363	26203	1.602185
364	26245	0.522438
365	26242	0.227700
366	3383	1.219800
367	26255	0.960462
368	26048	1.541954
369	26396	1.833692
370	40262	0.648231
371	26374	0.890585
372	26399	1.959808
373	26375	2.142946
374	26371	0.765923
375	26397	1.841654
376	26065	1.492985
377	26995	0.693185
378	40261	0.187085
379	26036	0.864369
379	26069	1.717708
380	26032	1.168338
381	26032	0.860169
381	26063	0.699669
382	26063	2.297931
382	26564	2.359362
383	26564	1.786362
383	26566	1.462938
384	26073	1.578277
384	26609	1.041669
385	26073	1.709192
386	26566	1.628285
386	26609	1.599508
387	26069	1.044046
388	26996	1.711500
388	27010	0.559708
389	26995	1.350854
389	27009	1.112054
390	26065	0.674931
390	27016	1.351108
391	26991	1.424262
391	27030	1.359531
392	26993	0.986700
392	54868	1.304885
393	27027	0.927046
394	27030	1.336269
395	3695	0.859962
396	40338	0.514638
397	9273	1.006754
398	9273	0.499315
399	31903	0.629446
400	31903	0.578931
401	40336	0.270138
402	31618	0.164862
403	40336	0.635585
404	19633	0.651346
404	19634	0.886223
404	40337	0.419908
405	9173	0.623446
406	31820	0.577546
407	9330	0.915877
407	31820	0.606000
408	31839	0.791077
409	31065	2.191080
409	31662	1.581346
410	8662	0.519254
410	8747	0.113400
411	40335	0.788377
412	9077	1.160608
412	9121	0.261969
413	31831	0.652385
413	31837	0.424200
414	31829	0.297115
415	31821	1.202100
416	9330	0.426456
417	9569	0.407472
417	31803	0.848352
418	31803	0.666984
419	40314	0.646800
420	31905	0.826128
420	40314	0.647640
421	40312	0.536160
422	31905	1.023288
422	40312	0.518712
423	9696	0.908088
423	31905	0.930936
424	40313	0.652080
425	19659	0.813096
425	19660	0.909528
426	31960	0.242592
427	31960	0.657384
428	32906	0.496200
429	32906	0.374304
430	10000	0.497280
431	19630	0.986400
431	19666	1.082832
432	10033	0.546072
433	32910	0.609600
434	40317	0.204672
435	32808	0.323328
436	40315	0.287352
437	40315	0.629952
438	9744	0.394968
439	40316	0.355128
440	9744	0.775872
440	31859	0.665520
441	31874	0.688269
442	31874	0.513508
443	32856	0.880569
443	32870	0.600946
443	32876	1.119672
444	10094	0.376152
445	32786	0.403872
446	32894	0.789648
447	10095	0.595896
447	32814	0.542880
448	32857	0.532754
449	32857	0.492000
450	9743	0.738969
451	31805	0.828808
451	31842	1.534546
452	31805	0.777785
453	32822	0.272631
454	32823	0.883338
455	32841	0.510785
456	32823	0.623608
456	32845	1.220077
457	32814	1.460088
457	40333	0.776146
458	40333	0.334015
459	32878	0.464562
460	32828	1.124354
460	32845	0.859592
461	40332	0.629446
462	29861	2.346392
463	40331	1.168431
464	40331	0.625800
465	29851	0.920077
466	10020	0.639231
467	32833	0.744392
468	32833	0.288485
469	31849	0.402369
470	31841	1.113508
470	31849	1.091515
471	31798	1.020715
471	31819	1.157585
472	9244	1.077115
472	54525	1.361792
473	9160	0.850454
473	31671	0.518608
474	31671	0.716538
474	31686	0.744600
475	54528	1.083785
476	31655	1.011231
476	54528	0.713446
477	31654	1.608508
478	19313	1.429708
479	8186	0.605100
480	8540	1.112169
481	8540	1.076885
481	8650	1.188785
482	8650	0.559777
482	8798	1.023715
483	8939	0.689031
483	31678	0.508915
484	31651	0.690000
484	31678	0.430685
485	31677	0.791538
486	8939	0.432600
486	31675	0.345277
487	31674	0.741438
487	31690	0.461885
488	31672	0.498577
489	31808	0.931500
490	31810	0.853408
490	31811	1.351546
491	31811	0.630669
491	31841	0.713100
492	29873	0.702277
493	29873	0.576115
494	31807	0.386677
495	30699	0.725077
496	9200	1.625308
496	31814	1.184562
497	8833	0.700015
497	8938	0.843785
498	31658	0.376454
499	29903	1.163608
500	54541	0.621323
501	8942	1.118769
501	30619	1.323346
502	40321	0.576692
503	40321	0.563838
504	30637	0.311838
504	30671	1.398646
505	30530	0.663738
505	30679	1.415331
506	51509	0.200654
506	51647	0.160108
506	51692	0.588600
507	30700	1.252315
508	30694	0.406177
509	40330	0.579346
510	30665	0.938377
510	30666	1.136169
510	30685	0.617608
511	30664	1.521600
511	30712	1.917715
511	40330	2.179777
512	30669	0.509515
513	29812	1.283169
513	30712	1.429962
514	29820	1.151562
515	30709	0.277662
516	40323	0.608377
517	40323	1.109331
518	40324	1.711362
519	40322	2.694715
520	40322	1.329646
521	8381	1.301792
521	40324	1.188254
522	30620	0.484362
523	29903	0.627369
523	30619	1.156038
524	30609	0.683677
524	30627	0.442962
524	30628	1.054592
525	30609	0.471900
526	8254	0.947631
526	8381	1.034469
527	8072	1.126292
527	8263	1.037077
528	8024	0.518077
528	8072	0.567462
529	8254	1.495662
530	8015	0.624738
531	40326	0.215931
532	8043	1.204154
532	40326	0.598500
533	40327	0.472523
534	40327	0.750277
535	40329	0.551238
536	8186	0.779054
537	40328	0.413054
538	8043	1.105777
538	18322	0.511615
539	7837	0.715846
540	7837	1.145654
541	7665	0.876600
542	30449	0.994085
543	30429	0.559823
543	30436	0.823131
544	30400	1.201500
545	30433	1.562723
546	40325	0.460869
547	6475	0.497931
548	6624	0.787085
549	30257	0.512977
550	30256	0.050585
551	30228	0.419908
552	30228	0.811592
553	30403	1.192131
553	30421	0.568546
554	30413	1.134992
554	30426	0.574038
555	30468	0.037823
556	30412	1.040400
557	30245	0.707400
557	30406	0.596538
558	30242	0.539331
558	30254	0.973638
559	30102	0.510992
559	30229	1.075431
560	6798	1.095023
560	30111	0.534369
561	6798	0.595315
562	6609	0.369669
562	19334	0.825531
563	6617	0.642323
